name,date_of_birth,phone_number,address,credit_card_number,email
Shirlez_Dominguez,  2004-06-06, (+57) 320 432 05 09, 28st, 5555555555554444, shirlez@gmail.com
Alberto-Jose, 20020728,  (+57) 320-432-05-09, 22st, 379304244903836, alb2@gmail.com
Susana, 20000128,  (+2) 320-432-05-09, 23st, 6011310764051683, susana@gmail.com
1, 19900328,  (+23) 320 432 05 09, 26st, 4539689983136609, martin@gmail.com
Alvaro, 1994-07-28,  (+05) 320-432-05-09, 12st, 54b 41395643588122, alvaro@gmail.com
Silvia, 19950328,  (+01) 320-432-05-09, 54st, 4485022846603181, alb2@gmail.com
Paola, 1996-02-28,  (+11) 320-432-05-09, 76st, 4024007121544232, paola@gmail.com
Juan, 1992-06-28,  (+20) 320 32 05 09, 78st, 5256526775085206, juan@gmail.com
Mario-mendez, 1999/03/28,  (+57) 320-432-05-09, 93st, 6011987824047882, mario@gmail.com
Belsy, 19940228,  (+57) 320 432-05 09, 45st, 373811883596966, belsy@gmail.com
Belsy, 20020221,  (+57) 320 432-05 09, 45st, 37381132232, belsy@gmail.com
